Requirement,Result,Evidence
"PLT-001","Partial","E-INSPECT; E-HOST — Complete the applicable Matrix E or cross-window demonstration"
"PLT-002","Open","E-MATRIX — Complete the required remote, Restricted Mode, or cross-window demonstration"
"PLT-003","Partial","E-INSPECT; E-HOST — Complete the applicable Matrix E or cross-window demonstration"
"PLT-004","Partial","E-INSPECT; E-HOST — Complete the applicable Matrix E or cross-window demonstration"
"PLT-005","Pass","E-HOST"
"PLT-006","Partial","E-INSPECT; E-HOST — Complete the applicable Matrix E or cross-window demonstration"
"PLT-007","Open","E-MATRIX — Complete the required remote, Restricted Mode, or cross-window demonstration"
"PLT-008","Open","E-MATRIX — Complete the required remote, Restricted Mode, or cross-window demonstration"
"COL-001","Pass","E-UNIT; E-HOST"
"COL-002","Pass","E-UNIT; E-HOST"
"COL-003","Pass","E-UNIT; E-HOST"
"COL-004","Pass","E-UNIT; E-HOST"
"COL-005","Pass","E-UNIT; E-HOST"
"COL-006","Pass","E-UNIT; E-HOST"
"COL-007","Pass","E-UNIT; E-HOST"
"COL-008","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated input-control or theme demonstration"
"COL-009","Pass","E-UNIT"
"COL-010","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated input-control or theme demonstration"
"COL-011","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated input-control or theme demonstration"
"PRE-001","Pass","E-DOC"
"PRE-002","Partial","E-UNIT; E-INSPECT — Complete the stated custom-preset command-flow verification"
"PRE-003","Partial","E-UNIT; E-INSPECT — Complete the stated custom-preset command-flow verification"
"PRE-004","Partial","E-UNIT; E-INSPECT — Complete the stated custom-preset command-flow verification"
"PRE-005","Partial","E-UNIT; E-INSPECT — Complete the stated custom-preset command-flow verification"
"PRE-006","Partial","E-UNIT; E-INSPECT — Complete the stated custom-preset command-flow verification"
"PRE-007","Partial","E-UNIT; E-INSPECT — Complete the stated custom-preset command-flow verification"
"PRE-008","Partial","E-UNIT; E-INSPECT — Complete the stated custom-preset command-flow verification"
"PRE-009","Partial","E-UNIT; E-INSPECT — Complete the stated custom-preset command-flow verification"
"PRE-010","Partial","E-UNIT; E-INSPECT — Complete the stated custom-preset command-flow verification"
"PRE-011","Partial","E-UNIT; E-INSPECT — Complete the stated custom-preset command-flow verification"
"PRE-012","Partial","E-UNIT; E-INSPECT — Complete the stated custom-preset command-flow verification"
"UX-001","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated native control demonstration"
"UX-002","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated native control demonstration"
"UX-003","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated native control demonstration"
"UX-004","Pass","E-UNIT; E-HOST"
"UX-005","Pass","E-UNIT; E-HOST"
"UX-006","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated native control demonstration"
"UX-007","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated native control demonstration"
"UX-008","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated native control demonstration"
"UX-009","Pass","E-UNIT; E-HOST"
"UX-010","Pass","E-UNIT; E-HOST"
"UX-011","Pass","E-UNIT; E-HOST"
"UX-012","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated native control demonstration"
"UX-013","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated native control demonstration"
"UX-014","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated native control demonstration"
"UX-015","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated native control demonstration"
"UX-016","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated native control demonstration"
"AUT-001","Pass","E-HOST"
"AUT-002","Partial","E-HOST; E-INSPECT — Complete startup, scope-selection, or remote demonstrations as specified"
"AUT-003","Partial","E-HOST; E-INSPECT — Complete startup, scope-selection, or remote demonstrations as specified"
"AUT-004","Partial","E-HOST; E-INSPECT — Complete startup, scope-selection, or remote demonstrations as specified"
"AUT-005","Partial","E-HOST — Fresh startup and complete source demonstrations remain Open"
"AUT-006","Partial","E-HOST — Fresh startup and complete source demonstrations remain Open"
"AUT-007","Partial","E-HOST — Fresh startup and complete source demonstrations remain Open"
"AUT-008","Partial","E-HOST — Fresh startup and complete source demonstrations remain Open"
"AUT-009","Partial","E-HOST; E-INSPECT — Complete startup, scope-selection, or remote demonstrations as specified"
"AUT-010","Partial","E-HOST; E-INSPECT — Complete startup, scope-selection, or remote demonstrations as specified"
"AUT-011","Partial","E-HOST; E-INSPECT — Complete startup, scope-selection, or remote demonstrations as specified"
"AUT-012","Partial","E-HOST; E-INSPECT — Complete startup, scope-selection, or remote demonstrations as specified"
"RND-001","Pass","E-UNIT"
"RND-002","Pass","E-UNIT"
"RND-003","Pass","E-UNIT"
"RND-004","Pass","E-UNIT"
"RND-005","Pass","E-UNIT"
"RND-006","Pass","E-UNIT"
"RND-007","Partial","E-UNIT; E-INSPECT — Complete the stated cross-window or record-boundary fixture"
"RND-008","Partial","E-UNIT; E-INSPECT — Complete the stated cross-window or record-boundary fixture"
"RND-009","Pass","E-UNIT"
"RND-010","Pass","E-UNIT"
"RND-011","Partial","E-UNIT; E-INSPECT — Complete the stated cross-window or record-boundary fixture"
"ADJ-001","Pass","E-UNIT; E-HOST"
"ADJ-002","Pass","E-UNIT; E-HOST"
"ADJ-003","Pass","E-UNIT; E-HOST"
"ADJ-004","Partial","E-UNIT; E-HOST — Complete the stated boundary or theme transition fixture"
"ADJ-005","Pass","E-UNIT; E-HOST"
"ADJ-006","Pass","E-UNIT; E-HOST"
"ADJ-007","Pass","E-UNIT; E-HOST"
"ADJ-008","Partial","E-UNIT; E-HOST — Complete the stated boundary or theme transition fixture"
"SUR-001","Partial","E-UNIT; E-INSPECT — Complete the applicable native-control or layout demonstration"
"SUR-002","Pass","E-UNIT; E-DOC"
"SUR-003","Pass","E-UNIT; E-DOC"
"SUR-004","Pass","E-UNIT; E-DOC"
"SUR-005","Pass","E-UNIT; E-DOC"
"SUR-006","Pass","E-UNIT; E-DOC"
"SUR-007","Pass","E-UNIT; E-DOC"
"SUR-008","Partial","E-UNIT; E-INSPECT — Complete the applicable native-control or layout demonstration"
"SUR-009","Partial","E-UNIT; E-INSPECT — Complete the applicable native-control or layout demonstration"
"SUR-010","Partial","E-UNIT; E-INSPECT — Complete the applicable native-control or layout demonstration"
"DAT-001","Pass","E-HOST"
"DAT-002","Pass","E-HOST"
"DAT-003","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated startup or failure demonstration"
"DAT-004","Pass","E-UNIT"
"DAT-005","Pass","E-UNIT"
"DAT-006","Pass","E-UNIT"
"DAT-007","Pass","E-UNIT"
"DAT-008","Pass","E-UNIT"
"DAT-009","Pass","E-UNIT"
"DAT-010","Pass","E-UNIT"
"DAT-011","Pass","E-UNIT"
"DAT-012","Pass","E-HOST"
"DAT-013","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated startup or failure demonstration"
"DAT-014","Pass","E-UNIT"
"DAT-015","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated startup or failure demonstration"
"DAT-016","Pass","E-HOST"
"RES-001","Pass","E-UNIT; E-HOST"
"RES-002","Pass","E-UNIT; E-HOST"
"RES-003","Pass","E-UNIT; E-HOST"
"RES-004","Pass","E-UNIT; E-HOST"
"RES-005","Pass","E-UNIT; E-HOST"
"RES-006","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated restart or deactivation fixture"
"RES-007","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated restart or deactivation fixture"
"RES-008","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated restart or deactivation fixture"
"RES-009","Pass","E-UNIT; E-HOST"
"RES-010","Pass","E-UNIT; E-HOST"
"RES-011","Partial","E-UNIT; E-HOST; E-INSPECT — Complete the stated restart or deactivation fixture"
"RES-012","Pass","E-DOC; E-INSPECT"
"QUA-001","Open","E-MATRIX — Complete the specified accessibility demonstration or Profile T measurement"
"QUA-002","Open","E-MATRIX — Complete the specified accessibility demonstration or Profile T measurement"
"QUA-003","Open","E-MATRIX — Complete the specified accessibility demonstration or Profile T measurement"
"QUA-004","Open","E-MATRIX — Complete the specified accessibility demonstration or Profile T measurement"
"QUA-005","Open","E-MATRIX — Complete the specified accessibility demonstration or Profile T measurement"
"QUA-006","Open","E-MATRIX — Complete the specified accessibility demonstration or Profile T measurement"
"QUA-007","Partial","E-PERF — Complete Profile T host coverage"
"QUA-008","Partial","E-INSPECT; E-PACKAGE — Instrumented flows remain Open"
"QUA-009","Partial","E-INSPECT; E-PACKAGE — Instrumented flows remain Open"
"QUA-010","Partial","E-INSPECT; E-PACKAGE — Instrumented flows remain Open"
"QUA-011","Pass","E-UNIT"
"QUA-012","Partial","E-HOST — The ten-minute observation remains Open"
"QUA-013","Partial","E-HOST — The minimum host remains Open"
"QUA-014","Pass","E-DOC"
